Nombre del elipsoide ,a, b
Airy 1830,6377563.3960000,6356256.9090000
Modified Airy,6377340.1890000,6356034.4480000
Australian National ,6378160.0000000,6356774.7190000
Bessel 1841 (Namibia) ,6377483.8650000,6356165.3830000
Bessel 1841 ,6377397.1550000,6356078.9630000
Clarke 1866 ,6378206.4000000,6356583.8000000
Clarke 1880 ,6378249.1450000,6356514.8700000
Delambre 1800 ,6375635.0000000,6356564.0000000
Everest (India 1830),6377276.3450000,6356075.4130000
Everest (Sabah Sarawak),6377298.5560000,6356097.5500000
Everest (India 1956),6377301.2430000,6356100.2280000
Everest (Malaysia 1969),6377295.6640000,6356094.6680000
Everest (Malay&Sing 1948),6377304.0630000,6356103.0390000
Everest (Pakistan) ,6377309.6130000,6356108.5710000
Modified Fischer 1960,6378155.0000000,6356773.3200000
Helmert 1906 ,6378200.0000000,6356818.1700000
Hough 1960,6378270.0000000,6356794.3430000
Indonesian 1974,6378160.0000000,6356774.5040000
Hayford 1910 ,6378388.0000000,6356911.9460000
Krassovsky 1940 ,6378245.0000000,6356863.0190000
GRS 80,6378137.0000000,6356752.3140000
GRS 84,6378137.0000000,6356752.3140000
South American 1969,6378160.0000000,6356774.7190000
Struve 1924,6378298.3000000,6356657.1000000
Walbeck 1819,6376896.0000000,6355833.0000000
WGS 72,6378135.0000000,6356750.5200000
WGS 84,6378137.0000000,6356752.3142400
